rowId,featureKey,value,path
transpose/transpose,Read:type=UInt8:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,transpose/transpose.json
transpose/transpose,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,transpose/transpose.json
transpose/transpose,intercept,1,transpose/transpose.json
volume/volume,Read:type=UInt8:format=Volume file:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,volume/volume.json
volume/volume,Resize:type=UInt8:width=64:height=64:depth=64:interpolation=Linear,1,volume/volume.json
volume/volume,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,volume/volume.json
volume/volume,intercept,1,volume/volume.json
whiteTopHat/whiteTopHat,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,whiteTopHat/whiteTopHat.json
whiteTopHat/whiteTopHat,WhiteTopHat:type=UInt8:radius=3:windowSize=7,1,whiteTopHat/whiteTopHat.json
whiteTopHat/whiteTopHat,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,whiteTopHat/whiteTopHat.json
whiteTopHat/whiteTopHat,intercept,1,whiteTopHat/whiteTopHat.json
