template,mode,unknownCount,unknownFeatures,targetFeatures,emitted
bio-grayscale-morphGradient-grayDilate-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayOpening-morphGradient-64x64x64,triangular,2,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-blackTopHat-grayDilate-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-grayErode-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-threshold-opening-64x64x64,triangular,2,Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-resize-threshold-write-64x64x64,triangular,2,Resize:type=UInt8:width=64:height=64:depth=64:interpolation=Linear;Threshold:type=UInt8:lower=128.0:upper=infinity,Resize:type=UInt8:width=64:height=64:depth=64:interpolation=Linear;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-64x64x64,triangular,2,Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-64x64x64,triangular,2,Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-64x64x64,triangular,2,Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-64x64x64,triangular,2,BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-64x64x64,triangular,2,BinaryContour:fullyConnected=false:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-64x64x64,triangular,2,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-opening-64x64x64,triangular,3,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-fillSmallHoles-64x64x64,triangular,3,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
