SimpleITK Filter,Category
InvertDisplacementFieldImageFilter,Slice-wise
InvertIntensityImageFilter,Slice-wise
IsoContourDistanceImageFilter,Full-volume
IsoDataThresholdImageFilter,Slice-wise
IsolatedConnectedImageFilter,Slice-wise
IsolatedWatershedImageFilter,Full-volume
IterativeInverseDisplacementFieldImageFilter,Slice-wise
JoinSeriesImageFilter,Slice-wise
KittlerIllingworthThresholdImageFilter,Slice-wise
LabelContourImageFilter,Slice-wise
LabelImageToLabelMapFilter,Slice-wise
LabelIntensityStatisticsImageFilter,Full-volume
LabelMapContourOverlayImageFilter,Slice-wise
LabelMapMaskImageFilter,Slice-wise
LabelMapOverlayImageFilter,Slice-wise
LabelMapToBinaryImageFilter,Slice-wise
LabelMapToLabelImageFilter,Slice-wise
LabelMapToRGBImageFilter,Slice-wise
LabelOverlapMeasuresImageFilter,Full-volume
LabelOverlayImageFilter,Slice-wise
LabelSetDilateImageFilter,Slice-wise
LabelSetErodeImageFilter,Slice-wise
LabelShapeStatisticsImageFilter,Full-volume
LabelStatisticsImageFilter,Full-volume
LabelToRGBImageFilter,Slice-wise
LabelUniqueLabelMapFilter,Slice-wise
LabelVotingImageFilter,Slice-wise
LandmarkBasedTransformInitializerFilter,Full-volume
LandweberDeconvolutionImageFilter,Full-volume
LaplacianImageFilter,Slice-wise
LaplacianRecursiveGaussianImageFilter,Rolling-window
LaplacianSegmentationLevelSetImageFilter,Slice-wise
LaplacianSharpeningImageFilter,Slice-wise
LessEqualImageFilter,Slice-wise
LessImageFilter,Slice-wise
LevelSetMotionRegistrationFilter,Full-volume
LiThresholdImageFilter,Slice-wise
Log10ImageFilter,Slice-wise
LogImageFilter,Slice-wise
MagnitudeAndPhaseToComplexImageFilter,Slice-wise
MaskImageFilter,Slice-wise
MaskNegatedImageFilter,Slice-wise
MaskedAssignImageFilter,Slice-wise
MaskedFFTNormalizedCorrelationImageFilter,Full-volume
MaximumEntropyThresholdImageFilter,Slice-wise
MaximumImageFilter,Slice-wise
MaximumProjectionImageFilter,Slice-wise
MeanImageFilter,Slice-wise
MeanProjectionImageFilter,Slice-wise
MedianImageFilter,Rolling-window
MedianProjectionImageFilter,Slice-wise
MergeLabelMapFilter,Slice-wise
MinMaxCurvatureFlowImageFilter,Rolling-window
MinimumImageFilter,Slice-wise
MinimumMaximumImageFilter,Slice-wise
MinimumProjectionImageFilter,Slice-wise
MirrorPadImageFilter,Slice-wise
ModulusImageFilter,Slice-wise
MomentsThresholdImageFilter,Slice-wise
MorphologicalGradientImageFilter,Rolling-window
MorphologicalWatershedFromMarkersImageFilter,Rolling-window
MorphologicalWatershedImageFilter,Rolling-window
MultiLabelSTAPLEImageFilter,Full-volume
MultiplyImageFilter,Slice-wise
N4BiasFieldCorrectionImageFilter,Full-volume
NaryAddImageFilter,Full-volume
NaryMaximumImageFilter,Full-volume
NeighborhoodConnectedImageFilter,Slice-wise
NoiseImageFilter,Slice-wise
NormalizeImageFilter,Full-volume
NormalizeToConstantImageFilter,Full-volume
NormalizedCorrelationImageFilter,Slice-wise
NotEqualImageFilter,Slice-wise
NotImageFilter,Slice-wise
ObjectnessMeasureImageFilter,Slice-wise
OpeningByReconstructionImageFilter,Slice-wise
OrImageFilter,Slice-wise
OtsuMultipleThresholdsImageFilter,Slice-wise
OtsuThresholdImageFilter,Slice-wise
PasteImageFilter,Slice-wise
PatchBasedDenoisingImageFilter,Slice-wise
PermuteAxesImageFilter,Slice-wise
PhysicalPointImageSource,Slice-wise
PowImageFilter,Slice-wise
ProcessObject,Slice-wise
ProjectedLandweberDeconvolutionImageFilter,Full-volume
RankImageFilter,Slice-wise
RealAndImaginaryToComplexImageFilter,Slice-wise
RealToHalfHermitianForwardFFTImageFilter,Full-volume
ReconstructionByDilationImageFilter,Slice-wise
ReconstructionByErosionImageFilter,Slice-wise
